season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
13,285,9,False Flag,"The BAU is called to investigate when two members of a conspiracy group in Roswell, N.M., perish in quick succession.",2017-12-06,Joe Mantegna,Breen Frazier,7.3,1131,5.34
13,286,10,Submerged,"When a series of backyard pool homicides are reported in California, the BAU team searches for an UnSub with a puzzling past.",2018-01-03,Rob Bailey,Bruce Zimmerman,6.9,917,5.41
13,287,11,Full-Tilt Boogie,The BAU team's investigation into the home invasion and attempted homicide of a police chief's wife uncovers a world of secrets in a small town in Virginia.,2018-01-10,Simon Mirren,Erica Messer & Kirsten Vangsness,7.3,1027,5.7
13,288,12,Bad Moon on the Rise,The BAU is called to New York when several brutal casualties are reported in Central Park.,2018-01-17,Christoph Schrewe,Karen Maser,7.3,1378,5.63
13,289,13,Cure,The BAU is called to investigate a series of D.C. homicides where cryptic messages are found inside the mouths of each victim.,2018-01-24,Glenn Kershaw,Christopher Barbour,7.4,1224,5.3
13,290,14,Miasma,The BAU is called when the New Orleans P.D. discovers a mass grave inside a vandalized above-ground crypt in a local cemetery.,2018-01-31,Leon Ichaso,Erica Meredith,7.3,1374,5.42
13,291,15,Annihilator,"The FBI's assistant director of national security, Linda Barnes, joins the BAU as they investigate a quadruple homicide of a group of roommates in St. Louis.",2018-03-07,Rob Bailey,Erik Stiller,7.7,1415,5.04
13,292,16,Last Gasp,"Away from the watchful eye of the FBI's assistant director of national security, Linda Barnes, the BAU meets in secret to investigate an UnSub who appears to be kidnapping and photographing young women.",2018-03-14,Adam Rodriguez,Stephanie SenGupta,8.1,1059,5.69
13,293,17,The Capilanos,The BAU is called to Oklahoma to investigate a murderous clown terrorizing the sleepy town of Guymon.,2018-03-21,Matthew Gray Gubler,Erica Messer,7.6,1439,5.26
13,294,18,The Dance of Love,"The BAU travels to Chicago to investigate an unsub who leaves red roses on each victim. Also, Rossi gets an unexpected visit from his ex-wife, Krystall Richards.",2018-03-28,Joe Mantegna,Bruce Zimmerman,7.4,1155,6.59
13,295,19,Ex Parte,"The BAU takes charge of a hostage situation at a law firm in D.C., where Matt Simmons' wife, Kristy, works.",2018-04-04,Lily Mariye,Christopher Barbour,7.5,1086,5.9
13,296,20,All You Can Eat,The BAU is called to investigate a series of deaths in Virginia suspected by the Center for Disease Control to be caused by bio-terrorism; Garcia visits her stepbrother to take care of a family issue.,2018-04-11,Diana C. Valentine,Karen Maser,6.9,914,5.2
13,297,21,Mixed Signals,"The BAU is called to Taos, N.M. to investigate an UnSub who is targeting his victims' temporal lobes.",2018-04-18,Alec Smight,Erica Meredith & Erik Stiller,7.0,843,5.92
13,298,22,Believer,"When Reid discovers former FBI Special Agent Owen Quinn locked inside a storage unit, the BAU questions the credibility of Quinn's bizarre accounts of searching for an UnSub that he named ""The Strangler"".",2018-04-18,Glenn Kershaw,Breen Frazier,8.5,1315,5.39
14,299,1,300,Penelope is the victim of an abduction.,2018-10-03,Glenn Kershaw,Erica Messer,8.3,1146,4.45
14,300,2,Starter Home,"When the mummified remains of numerous victims are found in the walls of an elderly couple's remote South Carolina home, Rossi, J.J., and Simmons are dispatched to track down a trail of clues that date back over 20 years. The hunt becomes urgent after BAU learns the killer has a specific ritual of when to strike, and like clockwork another person goes missing. Also, Rossi reconnects with his ex-wife, Krystall.",2018-10-10,Diana C. Valentine,Bruce Zimmerman,7.6,860,4.65
14,301,3,Rule 34,"The BAU must determine what connects six people that each received a mysterious package in order to identify the Unsub. Also, Simmons and his wife Kristy must deal with their son, who got suspended from school.",2018-10-17,Alec Smight,Christopher Barbour,7.4,828,4.42
14,302,4,Innocence,"Soon after the BAU steps in to help local law enforcement isolate a prime suspect for a ritualistic murder in Tallahassee, Fla., a second person who is related to the first victim is killed under similar circumstances. Also, Prentiss is concerned about Garcia's behavior in the aftermath of her abduction and has an idea of how to help with the healing process.",2018-10-24,Lily Mariye,Stephanie Sengupta,7.2,773,4.29
14,303,5,The Tall Man,"The BAU investigates a spooky local ghost story of the ""Tall Man"" and the clues it provides when two people go missing in the woods of East Allegheny's Dead Man's Conservatory, and a third mysteriously surfaces the following day with limited details as to what happened to her friends. To assist with the case, JJ reluctantly returns to her hometown, triggering emotional flashbacks to age 11 and her older sister's tragic death.",2018-10-31,Matthew Gray Gubler,Breen Frazier,8.2,1095,4.41
